         19185552 function calls (19185235 primitive calls) in 79.871 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 arrayprint.py:1258(__init__)
     10/9    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.000    0.000 managers.py:2190(_form_blocks)
       92    0.000    0.000    0.000    0.000 arrayprint.py:1273(__call__)
       94    0.000    0.000    0.000    0.000 arrayprint.py:765(_extendLine)
        1    0.000    0.000    0.000    0.000 _compiler.py:745(compile)
        2    0.000    0.000    0.000    0.000 generic.py:5598(<genexpr>)
        3    0.000    0.000    0.000    0.000 cast.py:124(maybe_convert_platform)
        1    0.000    0.000    0.000    0.000 base.py:5651(identical)
       93    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 readers.py:1990(__exit__)
        1    0.000    0.000    0.000    0.000 readers.py:1622(close)
        1    0.000    0.000    0.000    0.000 base.py:5552(equals)
        1    0.000    0.000    0.000    0.000 managers.py:2246(_stack_arrays)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:2781(max)
        3    0.000    0.000    0.000    0.000 missing.py:261(_isna_array)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        2    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 generic.py:6662(copy)
        1    0.000    0.000    0.000    0.000 common.py:515(get_compression_method)
        1    0.000    0.000    0.000    0.000 common.py:131(close)
        4    0.000    0.000    0.000    0.000 generic.py:6301(__setattr__)
        1    0.000    0.000    0.000    0.000 _parser.py:969(parse)
        2    0.000    0.000    0.000    0.000 _methods.py:50(_sum)
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       50    0.000    0.000    0.000    0.000 generic.py:42(_instancecheck)
        2    0.000    0.000    0.000    0.000 managers.py:1863(from_array)
        1    0.000    0.000    0.000    0.000 range.py:137(__new__)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 missing.py:466(array_equivalent)
        1    0.000    0.000    0.000    0.000 python_parser.py:300(_exclude_implicit_index)
        3    0.000    0.000    0.000    0.000 config.py:145(_get_option)
       18    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        4    0.000    0.000    0.000    0.000 arrayprint.py:64(_make_options_dict)
        1    0.000    0.000    0.000    0.000 base_parser.py:115(__init__)
      6/2    0.000    0.000    0.000    0.000 arrayprint.py:385(_leading_trailing)
        1    0.000    0.000    0.000    0.000 _compiler.py:578(_code)
        1    0.000    0.000    0.000    0.000 pstats.py:108(__init__)
        1    0.000    0.000    0.000    0.000 construction.py:596(_homogenize)
        1    0.000    0.000    0.000    0.000 numeric.py:2445(array_equal)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
        2    0.000    0.000    0.000    0.000 generic.py:511(_validate_dtype)
        7    0.000    0.000    0.000    0.000 base.py:7688(maybe_extract_name)
        1    0.000    0.000    0.000    0.000 common.py:160(is_url)
        1    0.000    0.000    0.000    0.000 series.py:6459(any)
        4    0.000    0.000    0.000    0.000 cast.py:1580(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        2    0.000    0.000    0.000    0.000 common.py:1204(is_potential_multi_index)
        5    0.000    0.000    0.000    0.000 generic.py:278(__init__)
        2    0.000    0.000    0.000    0.000 common.py:1596(pandas_dtype)
      179    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       50    0.000    0.000    0.000    0.000 generic.py:37(_check)
        1    0.000    0.000    0.000    0.000 readers.py:1627(_get_options_with_defaults)
        1    0.000    0.000    0.000    0.000 managers.py:557(copy)
      144    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
