         4062204 function calls (4061955 primitive calls) in 7.712 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 construction.py:596(_homogenize)
        2    0.000    0.000    0.000    0.000 generic.py:511(_validate_dtype)
        4    0.000    0.000    0.000    0.000 generic.py:6301(__setattr__)
       18    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 pstats.py:118(init)
      236    0.000    0.000    0.000    0.000 fromnumeric.py:2395(_any_dispatcher)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 base_parser.py:115(__init__)
        2    0.000    0.000    0.000    0.000 common.py:1596(pandas_dtype)
      236    0.000    0.000    0.000    0.000 fromnumeric.py:3471(_mean_dispatcher)
        1    0.000    0.000    0.000    0.000 common.py:160(is_url)
        1    0.000    0.000    0.000    0.000 _version.py:55(__init__)
        1    0.000    0.000    0.000    0.000 readers.py:1627(_get_options_with_defaults)
        1    0.000    0.000    0.000    0.000 parse.py:374(urlparse)
        1    0.000    0.000    0.000    0.000 series.py:6459(any)
        1    0.000    0.000    0.000    0.000 arrayprint.py:431(<lambda>)
        1    0.000    0.000    0.000    0.000 managers.py:557(copy)
        2    0.000    0.000    0.000    0.000 common.py:1204(is_potential_multi_index)
        3    0.000    0.000    0.000    0.000 config.py:145(_get_option)
        1    0.000    0.000    0.000    0.000 pstats.py:137(load_stats)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3068(prod)
        2    0.000    0.000    0.000    0.000 generic.py:6236(__finalize__)
        1    0.000    0.000    0.000    0.000 series.py:664(_constructor_from_mgr)
        1    0.000    0.000    0.000    0.000 frame.py:1933(to_numpy)
        2    0.000    0.000    0.000    0.000 arrayprint.py:64(_make_options_dict)
        3    0.000    0.000    0.000    0.000 base.py:649(_simple_new)
        5    0.000    0.000    0.000    0.000 generic.py:278(__init__)
      144    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       50    0.000    0.000    0.000    0.000 generic.py:37(_check)
        3    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
      157    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1258(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:300(full)
        7    0.000    0.000    0.000    0.000 base.py:7688(maybe_extract_name)
        1    0.000    0.000    0.000    0.000 readers.py:1685(_clean_options)
        2    0.000    0.000    0.000    0.000 common.py:248(stringify_path)
        1    0.000    0.000    0.000    0.000 managers.py:1633(as_array)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.000    0.000 managers.py:317(apply)
        1    0.000    0.000    0.000    0.000 cProfile.py:52(create_stats)
        4    0.000    0.000    0.000    0.000 cast.py:1580(construct_1d_object_array_from_listlike)
        1    0.000    0.000    0.000    0.000 missing.py:305(_isna_string_dtype)
      3/1    0.000    0.000    0.000    0.000 arrayprint.py:385(_leading_trailing)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 managers.py:2246(_stack_arrays)
        1    0.000    0.000    0.000    0.000 series.py:6418(_reduce)
       18    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       94    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
        1    0.000    0.000    0.000    0.000 python_parser.py:923(_get_index_name)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        1    0.000    0.000    0.000    0.000 common.py:550(infer_compression)
        1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       75    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        3    0.000    0.000    0.000    0.000 series.py:784(name)
        2    0.000    0.000    0.000    0.000 enum.py:1556(__and__)
        1    0.000    0.000    0.000    0.000 range.py:201(_simple_new)
        3    0.000    0.000    0.000    0.000 config.py:127(_get_single_key)
       44    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 arrayprint.py:423(_get_formatdict)
        2    0.000    0.000    0.000    0.000 common.py:1277(is_extension_array_dtype)
        3    0.000    0.000    0.000    0.000 common.py:1081(is_numeric_dtype)
        2    0.000    0.000    0.000    0.000 blocks.py:2716(new_block)
        3    0.000    0.000    0.000    0.000 common.py:137(is_object_dtype)
        1    0.000    0.000    0.000    0.000 common.py:301(maybe_iterable_to_list)
        6    0.000    0.000    0.000    0.000 arrayprint.py:1273(__call__)
        2    0.000    0.000    0.000    0.000 blocks.py:2645(maybe_coerce_values)
        6    0.000    0.000    0.000    0.000 common.py:1434(_is_dtype_type)
        1    0.000    0.000    0.000    0.000 nanops.py:482(nanany)
        1    0.000    0.000    0.000    0.000 base_parser.py:362(_make_index)
        1    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:372(release)
        4    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.000    0.000 _methods.py:67(_all)
        7    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:162(__enter__)
        3    0.000    0.000    0.000    0.000 common.py:529(is_string_or_object_np_dtype)
        1    0.000    0.000    0.000    0.000 base_parser.py:191(_validate_parse_dates_presence)
        3    0.000    0.000    0.000    0.000 common.py:188(_expand_user)
        7    0.000    0.000    0.000    0.000 construction.py:696(_sanitize_ndim)
        1    0.000    0.000    0.000    0.000 warnings.py:168(simplefilter)
       41    0.000    0.000    0.000    0.000 arrayprint.py:1025(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:27(require)
       46    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 common.py:568(require_length_match)
        1    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.ndarray' objects}
        3    0.000    0.000    0.000    0.000 managers.py:236(set_axis)
        3    0.000    0.000    0.000    0.000 common.py:1571(validate_all_hashable)
       46    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
        4    0.000    0.000    0.000    0.000 series.py:734(name)
        1    0.000    0.000    0.000    0.000 base_parser.py:350(_maybe_make_multi_index_columns)
        1    0.000    0.000    0.000    0.000 base_parser.py:871(_do_date_conversions)
       41    0.000    0.000    0.000    0.000 arrayprint.py:1026(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
        5    0.000    0.000    0.000    0.000 series.py:831(_values)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:124(setdefault)
        3    0.000    0.000    0.000    0.000 config.py:635(_get_root)
        1    0.000    0.000    0.000    0.000 common.py:1233(dedup_names)
        6    0.000    0.000    0.000    0.000 common.py:1331(is_ea_or_datetimelike_dtype)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       11    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
        1    0.000    0.000    0.000    0.000 python_parser.py:1355(count_empty_vals)
        1    0.000    0.000    0.000    0.000 _methods.py:58(_any)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:410(__enter__)
        1    0.000    0.000    0.000    0.000 generic.py:586(_get_axis)
        2    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 base.py:86(_validate_set_axis)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        1    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
        1    0.000    0.000    0.000    0.000 readers.py:2133(_refine_defaults_read)
